TS|CH0|CH1|CH2
7410|3.878|0.000|-3.894
7420|3.867|0.000|-3.845
7430|3.875|0.000|-3.762
7440|3.886|0.000|-3.747
7450|3.883|0.000|-3.669
7460|3.877|0.000|-3.552
7470|3.886|0.000|-3.532
7480|3.884|0.000|-3.542
7490|3.882|0.000|-3.473
7500|3.882|0.000|-3.395
7510|3.877|0.000|-3.356
7520|3.907|0.000|-3.273
7530|3.907|0.000|-3.195
7540|3.867|0.000|-3.195
7550|3.877|0.000|-3.122
7560|3.867|0.000|-3.161
7570|3.867|0.000|-3.004
7580|3.883|0.000|-3.000
7590|3.890|0.000|-2.965
7600|3.893|0.000|-2.868
7610|3.900|0.000|-2.809
7620|3.893|0.000|-2.804
7630|3.899|0.000|-2.750
7640|3.872|0.000|-2.672
7650|3.896|0.000|-2.574
7660|3.869|0.000|-2.570
7670|3.877|0.000|-2.423
7680|3.867|0.000|-2.418
7690|3.885|0.000|-2.443
7700|3.884|0.000|-2.379
7710|3.888|0.000|-2.335
7720|3.886|0.000|-2.301
7730|3.879|0.000|-2.184
7740|3.871|0.000|-2.164
7750|3.902|0.000|-2.081
7760|3.897|0.000|-2.096
7770|3.897|0.000|-2.081
7780|3.884|0.000|-1.944
7790|3.905|0.000|-1.827
7800|3.902|0.000|-1.871
7810|3.907|0.000|-1.803
7820|3.874|0.000|-1.734
7830|3.878|0.000|-1.715
7840|3.886|0.000|-1.666
7850|3.899|0.000|-1.578
7860|3.907|0.000|-1.514
7870|3.907|0.000|-1.426
7880|3.867|0.000|-1.436
7890|3.886|0.000|-1.348
7900|3.902|0.000|-1.319
7910|3.902|0.000|-1.246
7920|3.897|0.000|-1.241
7930|3.905|0.000|-1.163
7940|3.889|0.000|-1.085
7950|3.886|0.000|-1.055
7960|3.867|0.000|-1.041
7970|3.899|0.000|-1.080
7980|3.888|0.000|-0.948
7990|3.885|0.000|-0.943
8000|3.902|0.000|-0.909
8010|3.905|0.000|-0.894
8020|3.945|0.000|-0.855
8030|3.879|0.000|-0.733
8040|3.867|0.000|-0.699
8050|3.891|0.000|-0.660
8060|3.867|0.000|-0.620
8070|3.867|0.000|-0.542
8080|3.927|0.000|-0.420
8090|3.886|0.000|-0.435
8100|3.894|0.000|-0.264
8110|3.884|0.000|-0.308
8120|3.867|0.000|-0.230
8130|3.867|0.000|-0.191
8140|3.877|0.000|-0.107
8150|3.906|0.000|-0.151
8160|3.867|0.000|-0.029
8170|3.884|0.000|0.000
8180|3.897|0.000|0.034
8190|3.900|0.000|0.117
8200|3.886|0.000|0.156
8210|3.882|0.000|0.151
8220|3.900|0.000|0.303
8230|3.906|0.000|0.288
8240|3.869|0.000|0.376
8250|3.877|0.000|0.386
8260|3.886|0.000|0.479
8270|3.897|0.000|0.572
8280|3.897|0.000|0.513
8290|3.912|0.000|0.576
